Imagen,Modelo,Marca,Historia,Imagen directa
https://ibb.co/1YCMTWkZ,Torrot BMX,Torrot,"La Torrot BMX de tamaño completo fue la alternativa nacional española a las importaciones americanas durante el boom del BMX en los años 80. Con su cuadro blanco y azul y el mensaje '¡Alternativa Nacional a BMX USA!', Torrot demostró que España podía fabricar bicicletas de competición de calidad para los jóvenes riders patrios.",https://i.ibb.co/Q7WkMw49/foto11.png
https://ibb.co/pB3TJC3Z,Monty T-219 (Trial),Monty,"La Monty T-219 es una motocicleta de trial, parte inseparable del legado de Monty. Clave en el trial español de los años 80, este vehículo plateado con detalles rojos y ruedas doradas fue el instrumento con el que España conquistó podios internacionales. Con motor propio y chasis diseñado para la precisión extrema, la T-219 se convirtió en referente mundial de la disciplina.",https://i.ibb.co/q3R8kbR9/foto12.png
https://ibb.co/35CVksZ3,Orbea Orca – Euskadi Team,Orbea,"La Orbea Orca del Euskadi Professional Cycling Team representa la cima tecnológica del ciclismo vasco contemporáneo. Con cuadro de carbono en verde y negro, componentes Shimano Dura-Ace y ruedas Vision, esta bicicleta profesional es el resultado de más de 180 años de tradición ciclista de Orbea. Ligera, aerodinámica y bella, compite en las más grandes carreras del mundo.",https://i.ibb.co/V0qb3N41/foto13.png
https://ibb.co/5x8YYJwL,BH Banesto – Equipo Ciclista,BH (Beistegui Hermanos),"La BH Banesto es uno de los objetos más icónicos de la época dorada del ciclismo español. A bordo de esta bicicleta blanca y azul con detalles rojos y amarillos, Miguel Induráin dominó el ciclismo profesional ganando cinco Tours de Francia consecutivos (1991-1995). Con grupo Shimano Dura-Ace y ruedas Mavic, esta bici es parte de la historia del deporte español.",https://i.ibb.co/sJw55Xzq/foto14.png
https://ibb.co/fGCdykdr,Massi Pro SL,Massi,"Massi es una marca catalana históricamente ligada a la competición ciclista. Su modelo Pro SL de carbono negro y rojo con componentes Shimano Ultegra y ruedas propias CM30 representa lo mejor de la fabricación española de alto rendimiento. Con décadas de experiencia, Massi ha equipado a numerosos equipos y corredores en las pruebas más importantes del calendario nacional e internacional.",https://i.ibb.co/Qj6vTPvY/foto15.png
https://ibb.co/bjQ5yjfd,Zeus – Bicicleta de Carretera,Zeus,"Zeus fue una marca española de Eibar muy prestigiosa en el mundo del ciclismo de carretera. Conocida por sus grupos y componentes que rivalizaban con Campagnolo, Zeus también fabricó bicicletas completas de primer nivel. Este modelo de carbono negro y dorado evoca el espíritu de excelencia que caracterizó a la marca vasca durante los años 60-80.",https://i.ibb.co/V0JYh0KB/foto16.png
https://ibb.co/rfxWz4Zq,Razesa – Alta Gama Artesanal,Razesa,"Razesa representa la cúspide de la artesanía ciclista española: cuadros artesanales de alta gama construidos con mimo y precisión milimétrica. Este modelo en negro, rojo y oro con componentes Shimano Dura-Ace y ruedas Campagnolo C50 es una obra de arte funcional. Cada cuadro Razesa es único, pensado para el ciclista exigente que valora rendimiento y exclusividad.",https://i.ibb.co/Tq4C7mHJ/foto17.png
https://ibb.co/LD4gpjjx,Rabasa – Bicicleta Clásica,Rabasa (Barcelona),"Rabasa fue el punto de partida de una leyenda. Desde los años 40 en Barcelona, fabricó bicicletas de gran calidad con estilo clásico: depósito decorativo, guardabarros negros y manillar de cuerno. De la tradición y el espíritu pionero de Rabasa nació la mítica marca Derbi, que conquistaría primero el mercado ciclista y después el del motor. Sin Rabasa, no habría Derbi.",https://i.ibb.co/HLmPgwwt/foto18.png
https://ibb.co/6qW5Y9x,BH California,BH (Beistegui Hermanos),"La BH California es, sin duda, una de las bicicletas BMX más icónicas jamás fabricadas en España. Diseñada en los años 80 para la competición, con su cuadro cromado, neumáticos gumwall y la inconfundible placa 'California', marcó una época entera. Hoy sigue siendo leyenda en el mundo BMX y las unidades originales alcanzan precios altísimos entre coleccionistas de todo el mundo.",https://i.ibb.co/jjrFh02/foto19.png
https://ibb.co/S441KQ5F,Orbea Moncayo BMX,Orbea,"La Orbea Moncayo es uno de los modelos BMX más representativos de la historia ciclista española. Fabricada en los años 80 por la centenaria marca vasca Orbea (desde 1840), con su inconfundible cuadro cromado y protectores azules con el nombre 'Moncayo', fue diseñada específicamente para la competición. Robusta, ligera y ágil, la Moncayo marcó una época en el BMX nacional y fue protagonista en numerosas competiciones. Pura tradición, pura Orbea.",https://i.ibb.co/YFFKtDPH/foto20.png
